filename,Q1,Q3,RT
Hex2Cer d18:1/18:0 [264],890.7,264.3,4.666666667
Hex2Cer d18:1/20:0 [264],918.7,264.3,5.016666667
Hex2Cer d18:1/22:0 [264],946.7,264.3,5.333333333
Hex2Cer d18:1/24:1 [264],972.7,264.3,5.333333333
Hex2Cer d18:1/24:0 [264],974.8,264.3,5.633333333
Hex3Cer d18:1/16:0 [264],1024.7,264.3,4.166666667
Hex3Cer d18:1/18:0 [264],1052.7,264.3,4.533333333
Hex3Cer d18:1/18:0 d3 (ISTD) [264],1055.7,264.2,4.533333333
Hex3Cer d18:1/18:0 d3 (ISTD) [282],1055.7,282.2,4.483333333
Hex3Cer d18:1/18:0 d3 (ISTD) [-HexAll],1055.7,551.7,4.316666667
Hex3Cer d18:1/20:0 [264],1080.7,264.3,4.9
Hex3Cer d18:1/22:0 [264],1108.8,264.3,5.2
Hex3Cer d18:1/24:1 [264],1134.8,264.3,5.2
Hex3Cer d18:1/24:0 [264],1136.8,264.3,5.5
HexCer d18:1/08:0 (ISTD) [264],587.4,264.2,2.983333333
HexCer d18:1/12:0 (ISTD) [M-H2O > 264],626.5,264.2,3.733333333
HexCer d18:1/12:0 (ISTD) [264],644.5,264.2,3.733333333
HexCer d18:1/12:0 (ISTD) [282],644.5,282.2,3.733333333
HexCer d18:1/16:0 [264],700.6,264.3,4.516666667
HexCer d18:1/16:0 d3 (ISTD) [264],703.6,264.2,4.3
HexCer d18:1/16:0 d3 (ISTD),703.6,264.3,4.3
HexCer d18:1/16:0 d3 (ISTD) [282],703.6,282.2,4.6
HexCer d18:1/16:0 d3 (ISTD) [-HexAll],703.6,523.6,4.516666667
HexCer d18:1/18:0 [264],728.6,264.3,4.9
HexCer d18:1/20:0 [264],756.6,264.3,5.233333333
HexCer d18:1/22:0 [264],784.7,264.3,5.533333333
HexCer d18:1/24:1 [264],810.7,264.3,5.533333333
HexCer d18:1/24:0 [264],812.7,264.3,5.816666667
LPC 14:0,468.3,184.1,#VALUE!
LPC 15:0,482.3,184.1,#VALUE!
LPC O-16:0,482.4,104.1,2.416666667
LPC 16:1,494.3,184.1,#VALUE!
LPC 16:0,496.3,184.1,#VALUE!
LPC O-18:1,508.4,104.1,2.5
LPC 17:1,508.4,184.1,#VALUE!
LPC O-18:0,510.4,104.1,2.816666667
LPC 17:0,510.4,184.1,2.433333333
LPC 18:3,518.3,184.1,1.733333333
LPC 18:2,520.3,184.1,#VALUE!
LPC 18:1,522.4,184.1,#VALUE!
LPC 18:0,524.4,184.1,#VALUE!
LPC 18:1 d7 (ISTD),529.7,184.1,2.3
LPC O-20:0,538.4,104.1,3.216666667
LPC 20:5,542.3,184.1,#VALUE!
LPC 20:4,544.3,184.1,2
LPC 20:3,546.4,184.1,2.183333333
LPC 20:2,548.4,184.1,#VALUE!
LPC 20:1,550.4,184.1,2.683333333
LPC 20:0,552.4,184.1,3.033333333
LPC O-22:1,564.4,104.1,3.233333333
LPC O-22:0,566.5,104.1,3.666666667
LPC 22:6,568.3,184.1,1.933333333
LPC 22:5,570.4,184.1,2.133333333
LPC 22:1,578.4,184.1,#VALUE!
LPC 22:0,580.4,184.1,#VALUE!
LPC O-24:2,590.5,104.1,3.35
LPC O-24:1,592.5,104.1,3.666666667
LPC O-24:0,594.5,104.1,4.116666667
LPC 24:0,608.5,184.1,#VALUE!
LPC 26:0,636.5,184.1,#VALUE!
LPE 14:0 (ISTD),426.3,285.2,#VALUE!
LPE 16:0,454.3,313.3,#VALUE!
LPE 18:2,478.3,337.3,2.083333333
LPE 18:1,480.3,339.3,2.383333333
LPE 18:0,482.3,341.3,2.7
LPE 18:1 d7 (ISTD),487.1,346.2,2.383333333
LPE 20:4,502.3,361.3,2.05
LPE 22:6,526.3,385.3,2
LPI 18:2,614.3,337.3,#VALUE!
LPI 18:1,616.3,339.3,#VALUE!
LPI 18:0,618.3,341.3,#VALUE!
LPI 20:4,638.3,361.3,#VALUE!
PC 28:0,678.5,184.1,3.916666667
PC 29:0,692.5,184.1,4.566666667
PC 30:0,706.5,184.1,4.316666667
PC 31:1,718.5,184.1,4.516666667
PC 32:3,728.5,184.1,3.85
PC 32:2,730.5,184.1,4.083333333
