LIPID,LIPID_NAME_CLEAN,QUANTIFIER,Q1,Q3,RT
DG 16:1_18:1 [-18:1],DG 16:1_18:1,FALSE,610.5,311.2,5.316666667
DG 18:0_18:0 [-18:0],DG 18:0_18:0,TRUE,642.6,341.3,6.083333333
DG 18:0_18:1 [-18:0],DG 18:0_18:1,FALSE,640.6,339.3,5.866666667
DG 18:0_18:1 [-18:1],DG 18:0_18:1,TRUE,640.6,341.3,5.866666667
DG 18:0_18:2 [-18:0],DG 18:0_18:2,TRUE,638.6,337.3,5.65
DG 18:0_18:2 [-18:2],DG 18:0_18:2,FALSE,638.6,341.3,5.65
DG 18:0_20:4 [-20:4],DG 18:0_20:4,TRUE,662.6,341.3,5.6
DG 18:1_18:1 [-18:1],DG 18:1_18:1,TRUE,638.6,339.3,5.6
DG 18:1_18:2 [-18:1],DG 18:1_18:2,FALSE,636.6,337.3,5.383333333
DG 18:1_18:2 [-18:2],DG 18:1_18:2,TRUE,636.6,339.3,5.383333333
DG 18:1_18:3 [-18:3],DG 18:1_18:3,TRUE,634.5,339.2,5.166666667
DG 18:1_20:0 [-18:1],DG 18:1_20:0,TRUE,668.7,369.3,7.3
DG 18:1_20:3 [-20:3],DG 18:1_20:3,TRUE,662.6,339.3,5.55
DG 18:1_20:4 [-18:1],DG 18:1_20:4,FALSE,660.6,361.3,5.333333333
DG 18:1_20:4 [-20:4],DG 18:1_20:4,TRUE,660.6,339.3,5.333333333
DG 18:2_18:2 [-18:2],DG 18:2_18:2,TRUE,634.5,337.2,5.133333333
DG 18:2_20:3 [-20:3],DG 18:2_20:3,TRUE,660.6,337.3,5.316666667
DG 18:2_20:4 [-20:4],DG 18:2_20:4,TRUE,658.5,337.2,5.083333333
GM3 d18:1/16:0,GM3 d18:1/16:0,TRUE,1153.7,264.3,3.75
GM3 d18:1/18:0,GM3 d18:1/18:0,TRUE,1181.8,264.3,4.1
GM3 d18:1/20:0,GM3 d18:1/20:0,TRUE,1209.8,264.3,4.433333333
GM3 d18:1/22:0,GM3 d18:1/22:0,TRUE,1237.8,264.3,4.766666667
GM3 d18:1/24:0,GM3 d18:1/24:0,TRUE,1265.8,264.3,5.066666667
GM3 d18:1/24:1,GM3 d18:1/24:1,TRUE,1263.8,264.3,4.766666667
Hex2Cer d18:1/12:0 (ISTD),Hex2Cer d18:1/12:0,TRUE,806.6,264.2,3.55
Hex2Cer d18:1/16:0,Hex2Cer d18:1/16:0,TRUE,862.6,264.3,4.316666667
Hex2Cer d18:1/18:0,Hex2Cer d18:1/18:0,TRUE,890.7,264.3,4.666666667
Hex2Cer d18:1/20:0,Hex2Cer d18:1/20:0,TRUE,918.7,264.3,5.016666667
Hex2Cer d18:1/22:0,Hex2Cer d18:1/22:0,TRUE,946.7,264.3,5.333333333
Hex2Cer d18:1/24:0,Hex2Cer d18:1/24:0,TRUE,974.8,264.3,5.633333333
Hex2Cer d18:1/24:1,Hex2Cer d18:1/24:1,TRUE,972.7,264.3,5.333333333
Hex3Cer d18:1/16:0,Hex3Cer d18:1/16:0,TRUE,1024.7,264.3,4.166666667
Hex3Cer d18:1/18:0,Hex3Cer d18:1/18:0,TRUE,1052.7,264.3,4.533333333
Hex3Cer d18:1/20:0,Hex3Cer d18:1/20:0,TRUE,1080.7,264.3,4.9
Hex3Cer d18:1/22:0,Hex3Cer d18:1/22:0,TRUE,1108.8,264.3,5.2
Hex3Cer d18:1/24:0,Hex3Cer d18:1/24:0,TRUE,1136.8,264.3,5.5
Hex3Cer d18:1/24:1,Hex3Cer d18:1/24:1,TRUE,1134.8,264.3,5.2
HexCer d18:1/12:0 (ISTD),HexCer d18:1/12:0,TRUE,644.5,264.2,3.733333333
HexCer d18:1/16:0,HexCer d18:1/16:0,TRUE,700.6,264.3,4.516666667
HexCer d18:1/18:0,HexCer d18:1/18:0,TRUE,728.6,264.3,4.9
HexCer d18:1/20:0,HexCer d18:1/20:0,TRUE,756.6,264.3,5.233333333
HexCer d18:1/22:0,HexCer d18:1/22:0,TRUE,784.7,264.3,5.533333333
HexCer d18:1/24:0,HexCer d18:1/24:0,TRUE,812.7,264.3,5.816666667
HexCer d18:1/24:1,HexCer d18:1/24:1,TRUE,810.7,264.3,5.533333333
LPC 14:0,LPC 14:0,TRUE,468.3,184.1,1.683333333
LPC 15:0,LPC 15:0,TRUE,482.3,184.1,1.95
LPC 16:0,LPC 16:0,TRUE,496.3,184.1,2.175
LPC 16:1,LPC 16:1,TRUE,494.3,184.1,1.825
LPC 17:0,LPC 17:0,TRUE,510.4,184.1,2.433333333
LPC 17:1,LPC 17:1,TRUE,508.4,184.1,2.066666667
LPC 18:0,LPC 18:0,TRUE,524.4,184.1,2.6
LPC 18:1,LPC 18:1,TRUE,522.4,184.1,2.275
LPC 18:1 d7 (ISTD),LPC 18:1[D7],TRUE,529.7,184.1,2.3
LPC 18:2,LPC 18:2,TRUE,520.3,184.1,1.975
LPC 18:3,LPC 18:3,TRUE,518.3,184.1,1.733333333
LPC 20:0,LPC 20:0,TRUE,552.4,184.1,3.033333333
LPC 20:1,LPC 20:1,TRUE,550.4,184.1,2.683333333
LPC 20:2,LPC 20:2,TRUE,548.4,184.1,2.383333333
LPC 20:3,LPC 20:3,TRUE,546.4,184.1,2.183333333
LPC 20:4,LPC 20:4,TRUE,544.3,184.1,2
LPC 20:5,LPC 20:5,TRUE,542.3,184.1,1.675
LPC 22:0,LPC 22:0,TRUE,580.4,184.1,3.4
LPC 22:1,LPC 22:1,TRUE,578.4,184.1,3.008333333
LPC 22:5,LPC 22:5,TRUE,570.4,184.1,2.133333333
LPC 22:6,LPC 22:6,TRUE,568.3,184.1,1.933333333
LPC 24:0,LPC 24:0,TRUE,608.5,184.1,3.825
LPC 26:0,LPC 26:0,TRUE,636.5,184.1,4.258333333
LPC O-16:0,LPC O-16:0,TRUE,482.4,104.1,2.416666667
LPC O-18:0,LPC O-18:0,TRUE,510.4,104.1,2.816666667
LPC O-18:1,LPC O-18:1,TRUE,508.4,104.1,2.5
LPC O-20:0,LPC O-20:0,TRUE,538.4,104.1,3.216666667
LPC O-22:0,LPC O-22:0,TRUE,566.5,104.1,3.666666667
LPC O-22:1,LPC O-22:1,TRUE,564.4,104.1,3.233333333
LPC O-24:0,LPC O-24:0,TRUE,594.5,104.1,4.116666667
