LIPID,LIPID_NAME_CLEAN,QUANTIFIER,Q1,Q3,RT
TG 50:2 [-18:2],TG 18:2_32:0,TRUE,848.8,551.5,7
TG 50:2 [SIM],TG 50:2,TRUE,848.8,848.8,7
TG 50:3 [-14:1],TG 14:1_36:2,TRUE,846.8,603.6,6.866666667
TG 50:3 [-16:1],TG 16:1_34:2,TRUE,846.8,575.6,6.85
TG 50:3 [-18:1],TG 18:1_32:2,TRUE,846.8,547.5,6.85
TG 50:3 [SIM],TG 50:3,TRUE,846.8,846.8,6.866666667
TG 50:4 [-14:0],TG 14:0_36:4,TRUE,844.8,599.5,6.733333333
TG 50:4 [SIM],TG 50:4,TRUE,844.7,844.7,6.75
TG 51:0 [-17:0] (ISTD),TG 17:0_34:0,TRUE,866.8,579.5,7.3
TG 51:0 [-16:0],TG 16:0_35:0,TRUE,866.8,593.6,7.3
TG 51:1 [-18:1],TG 18:1_33:0,TRUE,864.8,565.5,7.183333333
TG 51:1 [SIM],TG 51:1,TRUE,864.8,864.8,7.183333333
TG 51:2 [-15:0],TG 15:0_36:2,TRUE,862.8,603.6,7.05
TG 51:2 [-16:0],TG 16:0_35:2,TRUE,862.8,589.6,7.05
TG 51:2 [-18:1],TG 18:1_33:1,TRUE,862.8,563.5,7.05
TG 51:2 [SIM],TG 51:2,TRUE,862.8,862.8,7.05
TG 52:1 [-18:0],TG 18:0_34:1,TRUE,878.8,577.5,7.25
TG 52:1 [SIM],TG 52:1,TRUE,878.8,878.8,7.25
TG 52:2 [-16:0],TG 16:0_36:2,TRUE,876.8,603.6,7.133333333
TG 52:2 [SIM],TG 52:2,TRUE,876.8,876.8,7.133333333
TG 52:3 [-16:1],TG 16:1_36:2,TRUE,874.8,603.6,7
TG 52:3 [-18:2],TG 18:2_34:1,TRUE,874.8,577.6,7.016666667
TG 52:3 [SIM],TG 52:3,TRUE,874.8,874.8,7.016666667
TG 52:4 [-16:0],TG 16:0_36:4,TRUE,872.8,599.6,6.9
TG 52:4 [-18:1],TG 18:1_34:3,TRUE,872.8,573.6,6.9
TG 52:4 [SIM],TG 52:4,TRUE,872.8,872.8,6.9
TG 53:2 [-17:0],TG 17:0_36:2,TRUE,890.8,603.6,7.2
TG 53:2 [SIM],TG 53:2,TRUE,890.8,890.8,7.2
TG 54:0 [-18:0],TG 18:0_36:0,TRUE,908.9,607.6,7.466666667
TG 54:0 [SIM],TG 54:0,TRUE,908.9,908.9,7.466666667
TG 54:1 [-18:1],TG 18:1_36:0,TRUE,906.9,607.6,7.366666667
TG 54:1 [SIM],TG 54:1,TRUE,906.8,906.8,7.366666667
TG 54:2 [-18:0],TG 18:0_36:2,TRUE,904.9,603.6,7.266666667
TG 54:2 [SIM],TG 54:2,TRUE,904.9,904.8,7.266666667
TG 54:3 [-18:1],TG 18:1_36:2,TRUE,902.9,603.6,7.15
TG 54:3 [SIM],TG 54:3,TRUE,902.8,902.8,7.15
TG 54:4 [-18:0],TG 18:0_36:4,TRUE,900.8,599.5,7.05
TG 54:4 [-18:2],TG 18:2_36:2,TRUE,900.9,603.9,7.033333333
TG 54:4 [SIM],TG 54:4,TRUE,900.8,900.8,7.033333333
TG 54:5 [-18:1],TG 18:1_36:4,TRUE,898.9,599.6,6.916666667
TG 54:5 [SIM],TG 54:5,TRUE,898.8,898.8,6.916666667
TG 54:6 [-18:2],TG 18:2_36:4,TRUE,896.9,599.6,6.783333333
TG 54:6 [SIM],TG 54:6,TRUE,896.8,896.8,6.833333333
TG 56:6 [-20:4],TG 20:4_36:2,TRUE,924.9,603.6,6.983333333
TG 56:6 [SIM],TG 56:6,TRUE,924.8,924.8,6.966666667
TG 56:8 [-20:4],TG 20:4_36:4,TRUE,920.9,599.6,6.733333333
TG 56:8 [SIM],TG 56:8,TRUE,920.9,920.9,6.8
TG 58:8 [-22:6],TG 22:6_36:2,TRUE,948.9,603.7,6.933333333
TG 58:8 [SIM],TG 58:8,TRUE,948.9,948.9,6.933333333
