LIPID,CLASS,CHAINS,OTHER,LIPID_NAME_CLEAN,QUANTIFIER,Q1,Q3,RT,Area_SPL,SB_ratio,Conc_SPL,CV_TQC,CV_BQC,CV_SPL,D_ratio,r.squared_1,r.squared_2,p.value_1,p.value_2
CE 14:0,CE,14:0,NA,CE 14:0,TRUE,614.6,369.3,7.133333333,288.58698355,4.905448698219544,0.24294077559316657,50.337934713481125,74.17812842013481,59.733449790100025,1.3215046155666017,0.3822034157631495,0.13868955538333969,0.19080501408880568,0.4672090215964177
CE 15:0,CE,15:0,NA,CE 15:0,TRUE,628.6,369.3,7.216666667,195.78177675,0.7738375491310271,0.16662733726319578,64.14716727363216,64.61940909451401,74.51015515005486,0.8313591534993332,0.3197490582576557,0.3374085609155111,0.24220785601974043,0.2266918551192954
CE 16:0,CE,16:0,NA,CE 16:0,TRUE,642.6,369.3,7.3,26337.56711,52.828315139183594,21.677658272825557,173.63668086007112,50.78082867172283,59.274741470499535,0.5579268702220999,0.4935513509332954,0.2234327408184026,0.11956968404708915,0.3437767565429005
CE 16:1,CE,16:1,NA,CE 16:1,TRUE,640.6,369.3,7.15,8072.5654269999995,15.968525338392691,6.4586088878279355,15.17916807629201,25.14015911813144,41.02831403832618,0.673064731966043,0.8691507549773569,0.9201845288968169,0.006723214982198094,0.002455513961079807
CE 16:2,CE,16:2,NA,CE 16:2,TRUE,638.6,369.3,6.983333333,229.69867245,5.588947051933606,0.21049267870482893,54.70575449800975,63.738958689400135,70.98302578122457,0.8671140270892322,0.023890011153860028,0.03185237730688362,0.7700003590241293,0.735133869325796
CE 17:0,CE,17:0,NA,CE 17:0,TRUE,656.6,369.3,7.366666667,999.1904332500001,21.906510650279504,0.8077856910798664,67.47482281310243,35.20336602474888,45.648934234875185,0.6865114815873875,0.6463911152643851,0.29634903309069266,0.05386744024502743,0.26409392783357727
CE 17:1,CE,17:1,NA,CE 17:1,TRUE,654.6,369.3,7.216666667,1622.6486795,18.870942154929942,1.2963791690313913,25.718083100895306,21.25602849473221,37.478142846376905,0.6348309799819853,0.14753437829742316,3.895889260462921e-5,0.45218106567368394,0.9906375627274608
CE 18:0,CE,18:0,NA,CE 18:0,TRUE,670.7,369.3,7.45,16009.349610000001,53.195011370193676,13.50874494547368,31.838859266558828,28.190962972361717,36.58153795302568,0.7558848368980519,0.9858841426326198,0.9531402434324177,7.50759403357684e-5,8.366508340532231e-4
CE 18:1,CE,18:1,NA,CE 18:1,TRUE,668.6,369.3,7.3,1131001.1425,694.9773308023703,883.6546179899368,14.1355679159101,11.880039408871916,24.50386101704351,0.5425045812790442,0.917192913736294,0.975521907649893,0.0026458565180819947,2.2655037820768327e-4
CE 18:1 d7 (ISTD),CE,18:1,d7,CE 18:1,TRUE,675.7,369.1,7.3,304030.0916,0.5791893908543994,243.47250000000003,1.9573201688357249e-13,2.218966981302795e-13,2.1869014974713836e-13,1.0146625185763911,0.9838599850672183,0.9718865595997096,9.821791354242133e-5,2.992093240693308e-4
CE 18:2,CE,18:2,NA,CE 18:2,TRUE,666.6,369.3,7.183333333,4352237.482000001,228.91220564585313,3479.5722646864456,11.840420168929674,13.668088606813052,26.166739671828193,0.5888423740302635,0.9372361247889786,0.9854153086678809,0.0015092837288327623,8.015846524400177e-5
CE 18:3,CE,18:3,NA,CE 18:3,TRUE,664.6,369.3,7.05,53695.80776,51.37843342181261,43.797031889214615,12.576495598161014,20.657647472345893,51.82689256168918,0.4125826109124352,0.178154436473386,0.008651466392570084,0.40447284841806735,0.8608824616982833
