Analysis Sequence	Sample ID	Subject ID	Sampling Time Point
77	LT_batch2_12	C037	tp4
126	LT_batch2_61	C037	tp5
149	LT_batch3_19	C038	tp1
191	LT_batch3_61	C038	tp2
135	LT_batch3_5	C038	tp3
177	LT_batch3_47	C038	tp4
156	LT_batch3_26	C038	tp5
46	LT_batch1_46	C039	tp1
10	LT_batch1_10	C039	tp2
11	LT_batch1_11	C039	tp3
55	LT_batch1_55	C039	tp4
13	LT_batch1_13	C039	tp5
19	LT_batch1_19	C040	tp1
31	LT_batch1_31	C040	tp2
43	LT_batch1_43	C040	tp3
14	LT_batch1_14	C040	tp4
22	LT_batch1_22	C040	tp5
117	LT_batch2_52	C042	tp1
98	LT_batch2_33	C042	tp2
101	LT_batch2_36	C042	tp3
130	LT_batch2_65	C042	tp4
89	LT_batch2_24	C042	tp5
144	LT_batch3_14	C046	tp1
147	LT_batch3_17	C046	tp2
170	LT_batch3_40	C046	tp3
165	LT_batch3_35	C046	tp4
146	LT_batch3_16	C046	tp5
215	LT_batch4_20	C047	tp1
237	LT_batch4_42	C047	tp2
214	LT_batch4_19	C047	tp3
223	LT_batch4_28	C047	tp4
240	LT_batch4_45	C047	tp5
217	LT_batch4_22	C048	tp1
207	LT_batch4_12	C048	tp2
211	LT_batch4_16	C048	tp3
208	LT_batch4_13	C048	tp4
254	LT_batch4_59	C048	tp5
309	LT_batch5_49	C049	tp1
297	LT_batch5_37	C049	tp2
269	LT_batch5_9	C049	tp3
289	LT_batch5_29	C049	tp4
261	LT_batch5_1	C049	tp5
95	LT_batch2_30	C050	tp1
106	LT_batch2_41	C050	tp2
129	LT_batch2_64	C050	tp3
107	LT_batch2_42	C050	tp4
119	LT_batch2_54	C050	tp5
16	LT_batch1_16	C052	tp1
1	LT_batch1_1	C052	tp2
34	LT_batch1_34	C052	tp3
17	LT_batch1_17	C052	tp4
15	LT_batch1_15	C052	tp5
64	LT_batch1_64	C053	tp1
6	LT_batch1_6	C053	tp2
37	LT_batch1_37	C053	tp3
50	LT_batch1_50	C053	tp4
28	LT_batch1_28	C053	tp5
142	LT_batch3_12	C057	tp1
169	LT_batch3_39	C057	tp2
181	LT_batch3_51	C057	tp3
160	LT_batch3_30	C057	tp4
168	LT_batch3_38	C057	tp5
85	LT_batch2_20	C058	tp1
69	LT_batch2_4	C058	tp2
127	LT_batch2_62	C058	tp3
76	LT_batch2_11	C058	tp4
73	LT_batch2_8	C058	tp5
280	LT_batch5_20	C060	tp1
312	LT_batch5_52	C060	tp2
264	LT_batch5_4	C060	tp3
292	LT_batch5_32	C060	tp4
293	LT_batch5_33	C060	tp5
82	LT_batch2_17	C061	tp1
92	LT_batch2_27	C061	tp2
70	LT_batch2_5	C061	tp3
96	LT_batch2_31	C061	tp4
120	LT_batch2_55	C061	tp5
188	LT_batch3_58	C065	tp1
166	LT_batch3_36	C065	tp2
151	LT_batch3_21	C065	tp3
145	LT_batch3_15	C065	tp4
184	LT_batch3_54	C065	tp5
54	LT_batch1_54	C067	tp1
42	LT_batch1_42	C067	tp2
4	LT_batch1_4	C067	tp3
29	LT_batch1_29	C067	tp4
33	LT_batch1_33	C067	tp5
26	LT_batch1_26	C069	tp1
52	LT_batch1_52	C069	tp2
27	LT_batch1_27	C069	tp3
9	LT_batch1_9	C069	tp4
38	LT_batch1_38	C069	tp5
39	LT_batch1_39	C070	tp1
24	LT_batch1_24	C070	tp2
23	LT_batch1_23	C070	tp3
8	LT_batch1_8	C070	tp4
63	LT_batch1_63	C070	tp5
185	LT_batch3_55	C071	tp1
180	LT_batch3_50	C071	tp2
139	LT_batch3_9	C071	tp3
134	LT_batch3_4	C071	tp4
192	LT_batch3_62	C071	tp5
173	LT_batch3_43	C072	tp1
162	LT_batch3_32	C072	tp2
157	LT_batch3_27	C072	tp3
143	LT_batch3_13	C072	tp4
140	LT_batch3_10	C072	tp5
36	LT_batch1_36	C073	tp1
7	LT_batch1_7	C073	tp2
12	LT_batch1_12	C073	tp3
32	LT_batch1_32	C073	tp4
60	LT_batch1_60	C073	tp5
259	LT_batch4_64	C074	tp1
236	LT_batch4_41	C074	tp2
232	LT_batch4_37	C074	tp3
203	LT_batch4_8	C074	tp4
225	LT_batch4_30	C074	tp5
212	LT_batch4_17	C075	tp1
197	LT_batch4_2	C075	tp2
198	LT_batch4_3	C075	tp3
250	LT_batch4_55	C075	tp4
218	LT_batch4_23	C075	tp5
186	LT_batch3_56	C076	tp1
190	LT_batch3_60	C076	tp2
182	LT_batch3_52	C076	tp3
174	LT_batch3_44	C076	tp4
141	LT_batch3_11	C076	tp5
187	LT_batch3_57	C077	tp1
179	LT_batch3_49	C077	tp2
172	LT_batch3_42	C077	tp3
195	LT_batch3_65	C077	tp4
132	LT_batch3_2	C077	tp5
299	LT_batch5_39	C078	tp1
304	LT_batch5_44	C078	tp2
305	LT_batch5_45	C078	tp3
284	LT_batch5_24	C078	tp4
316	LT_batch5_56	C078	tp5
178	LT_batch3_48	C079	tp1
163	LT_batch3_33	C079	tp2
176	LT_batch3_46	C079	tp3
150	LT_batch3_20	C079	tp4
194	LT_batch3_64	C079	tp5
234	LT_batch4_39	C080	tp1
213	LT_batch4_18	C080	tp2
235	LT_batch4_40	C080	tp3
256	LT_batch4_61	C080	tp4
196	LT_batch4_1	C080	tp5
311	LT_batch5_51	C082	tp1
303	LT_batch5_43	C082	tp3
278	LT_batch5_18	C082	tp4
322	LT_batch5_62	C082	tp5
294	LT_batch5_34	C083	tp1
306	LT_batch5_46	C083	tp3
296	LT_batch5_36	C083	tp4
325	LT_batch5_65	C083	tp5
111	LT_batch2_46	C085	tp1
93	LT_batch2_28	C085	tp2
66	LT_batch2_1	C085	tp3
97	LT_batch2_32	C085	tp4
116	LT_batch2_51	C085	tp5
350	LT_batch6_25	C091	tp1
346	LT_batch6_21	C091	tp2
361	LT_batch6_36	C091	tp3
329	LT_batch6_4	C095	tp1
349	LT_batch6_24	C095	tp2
351	LT_batch6_26	C095	tp3
360	LT_batch6_35	C096	tp1
341	LT_batch6_16	C096	tp2
366	LT_batch6_41	C096	tp3
263	LT_batch5_3	C099	tp1
274	LT_batch5_14	C099	tp2
271	LT_batch5_11	C099	tp3
332	LT_batch6_7	C101	tp1
330	LT_batch6_5	C101	tp2
327	LT_batch6_2	C101	tp3
321	LT_batch5_61	C102	tp1
267	LT_batch5_7	C102	tp2
319	LT_batch5_59	C102	tp3
376	LT_batch6_51	C103	tp1
328	LT_batch6_3	C103	tp2
359	LT_batch6_34	C103	tp3
362	LT_batch6_37	C104	tp1
326	LT_batch6_1	C104	tp2
352	LT_batch6_27	C104	tp3
356	LT_batch6_31	C105	tp1
340	LT_batch6_15	C105	tp2
374	LT_batch6_49	C105	tp3
375	LT_batch6_50	C110	tp1
357	LT_batch6_32	C110	tp2
336	LT_batch6_11	C110	tp3
373	LT_batch6_48	C117	tp1
342	LT_batch6_17	C117	tp2
339	LT_batch6_14	C117	tp3
377	LT_batch6_52	C118	tp1
334	LT_batch6_9	C118	tp2
378	LT_batch6_53	C118	tp3
